Configuration;Best way;Its distance;Average way;Dispersion
CR-1 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-1;8-12-6-3-9-1-5-11-13-15-7-4-10-2-14-8;85.16;87.7475;[85.16-90.47]
CR-1 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-2;3-6-7-12-4-10-8-14-11-13-5-1-9-15-2-3;83.86;92.2375;[83.86-104.47]
CR-1 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-3;5-10-15-2-6-3-9-11-12-7-4-8-14-1-13-5;85.15;89.8975;[85.15-92.7]
CR-1 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-1;3-13-1-8-14-10-6-2-7-12-15-4-11-5-9-3;75.4;82.565;[75.4-86.42]
CR-1 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-2;5-13-11-3-2-15-12-4-14-1-8-10-7-6-9-5;79.72;83.31;[79.72-88.59]
CR-1 PN-30 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-3;7-4-15-2-6-3-10-14-8-5-1-11-13-9-12-7;73.97;80.475;[73.97-92.32]
CR-1 PN-30 G-1 PP-15 SM-1 MAX_STEP10 PC-1;11-5-14-8-4-13-1-9-2-7-15-3-6-12-10-11;108.37;110.775;[108.37-114.78]
CR-1 PN-30 G-1 PP-15 SM-1 MAX_STEP10 PC-2;5-9-2-3-11-13-8-4-12-15-14-7-6-10-1-5;101.08;106.157;[101.08-114.78]
CR-1 PN-30 G-1 PP-15 SM-1 MAX_STEP10 PC-3;10-15-2-4-6-13-11-5-14-7-12-3-9-1-8-10;93.51;103.965;[93.51-111.49]
CR-1 PN-30 G-1 PP-15 SM-1 MAX_STEP50 PC-1;4-14-13-1-11-5-9-3-6-8-10-7-2-15-12-4;77.17;92.2125;[77.17-100.52]
CR-1 PN-30 G-1 PP-15 SM-1 MAX_STEP50 PC-2;8-10-11-5-13-9-3-1-14-4-15-2-6-7-12-8;88.26;96.44;[88.26-101.7]
CR-1 PN-30 G-1 PP-15 SM-1 MAX_STEP50 PC-3;11-13-5-1-9-6-14-7-10-12-2-15-8-4-3-11;99.95;103.812;[99.95-108.07]
CR-1 PN-30 G-1 PP-15 SM-1 MAX_STEP100 PC-1;5-1-11-7-4-12-10-14-8-15-2-13-9-3-6-5;93.36;98.5075;[93.36-103.92]
CR-1 PN-30 G-1 PP-15 SM-1 MAX_STEP100 PC-2;12-2-8-13-6-3-11-9-5-1-10-4-14-15-7-12;91.78;97.2775;[91.78-103.47]
CR-1 PN-30 G-1 PP-15 SM-1 MAX_STEP100 PC-3;1-13-5-9-3-11-8-4-14-12-7-6-2-15-10-1;83.47;92.31;[83.47-99.97]
CR-1 PN-30 G-1 PP-15 SM-2 B-2 MAX_STEP10 PC-1;9-3-6-15-4-2-7-8-10-12-11-5-13-14-1-9;96.76;103.99;[96.76-112.4]
CR-1 PN-30 G-1 PP-15 SM-2 B-2 MAX_STEP10 PC-2;7-11-13-5-9-1-8-10-6-2-3-4-15-14-12-7;88.54;100.887;[88.54-110.43]
CR-1 PN-30 G-1 PP-15 SM-2 B-2 MAX_STEP10 PC-3;8-1-11-6-7-9-3-12-2-5-13-15-10-4-14-8;99.67;103.248;[99.67-105.75]
CR-1 PN-30 G-1 PP-15 SM-2 B-2 MAX_STEP50 PC-1;4-12-7-6-3-14-10-9-5-1-11-13-8-2-15-4;85.48;91.165;[85.48-96.1]
CR-1 PN-30 G-1 PP-15 SM-2 B-2 MAX_STEP50 PC-2;8-13-5-14-10-12-1-4-15-7-2-6-3-9-11-8;84.96;96.6575;[84.96-103.76]
CR-1 PN-30 G-1 PP-15 SM-2 B-2 MAX_STEP50 PC-3;14-7-2-6-13-5-1-12-3-9-11-8-10-4-15-14;88.37;93.9875;[88.37-97.54]
CR-1 PN-30 G-1 PP-15 SM-2 B-2 MAX_STEP100 PC-1;14-10-6-3-9-1-13-5-11-12-2-4-7-15-8-14;77.97;85.135;[77.97-100.66]
CR-1 PN-30 G-1 PP-15 SM-2 B-2 MAX_STEP100 PC-2;13-15-2-4-12-7-10-8-14-11-1-5-9-3-6-13;89.92;93.375;[89.92-97.93]
CR-1 PN-30 G-1 PP-15 SM-2 B-2 MAX_STEP100 PC-3;12-8-5-11-13-1-14-10-15-3-9-4-7-2-6-12;86.61;92.8525;[86.61-98.48]
CR-1 PN-30 G-1 PP-15 SM-2 B-6 MAX_STEP10 PC-1;1-10-15-4-6-3-9-5-8-14-12-7-2-13-11-1;80.8;93.975;[80.8-109.22]
CR-1 PN-30 G-1 PP-15 SM-2 B-6 MAX_STEP10 PC-2;12-15-6-2-3-13-9-5-11-4-1-8-10-14-7-12;89.4;99.9925;[89.4-106.06]
CR-1 PN-30 G-1 PP-15 SM-2 B-6 MAX_STEP10 PC-3;6-2-5-3-8-1-11-13-14-10-12-4-15-7-9-6;93.86;95.6925;[93.86-99.88]
CR-1 PN-30 G-1 PP-15 SM-2 B-6 MAX_STEP50 PC-1;6-2-7-12-15-14-11-5-13-1-4-10-8-9-3-6;74.92;79.905;[74.92-84.68]
CR-1 PN-30 G-1 PP-15 SM-2 B-6 MAX_STEP50 PC-2;13-3-9-2-6-4-14-8-10-15-7-12-5-11-1-13;83.46;87.1525;[83.46-90.88]
CR-1 PN-30 G-1 PP-15 SM-2 B-6 MAX_STEP50 PC-3;11-5-13-1-7-2-3-9-6-12-15-4-14-10-8-11;71.75;83.3225;[71.75-95.44]
CR-1 PN-30 G-1 PP-15 SM-2 B-6 MAX_STEP100 PC-1;1-5-11-8-7-12-15-4-13-9-3-6-2-10-14-1;79.11;81.465;[79.11-85.8]
CR-1 PN-30 G-1 PP-15 SM-2 B-6 MAX_STEP100 PC-2;9-3-6-2-15-4-14-7-12-10-8-1-11-13-5-9;54.8;70.5275;[54.8-81.1]
CR-1 PN-30 G-1 PP-15 SM-2 B-6 MAX_STEP100 PC-3;7-15-4-10-8-14-11-5-13-1-3-9-6-12-2-7;74.24;77.19;[74.24-81.46]
CR-1 PN-30 G-15 PP-5 SM-1 MAX_STEP10 PC-1;11-14-4-15-7-1-10-12-2-6-8-13-3-9-5-11;95.87;97.525;[95.87-100.63]
CR-1 PN-30 G-15 PP-5 SM-1 MAX_STEP10 PC-2;6-2-15-7-14-4-12-10-1-11-9-13-5-8-3-6;82.26;97.8575;[82.26-107.02]
CR-1 PN-30 G-15 PP-5 SM-1 MAX_STEP10 PC-3;14-10-4-7-3-9-15-12-6-5-13-11-1-8-2-14;85.11;96.7825;[85.11-103.38]
CR-1 PN-30 G-15 PP-5 SM-1 MAX_STEP50 PC-1;11-13-14-12-2-4-7-8-10-15-6-3-9-5-1-11;79.7;93.7175;[79.7-102.68]
CR-1 PN-30 G-15 PP-5 SM-1 MAX_STEP50 PC-2;5-11-13-12-2-15-10-4-8-1-14-7-9-3-6-5;89.14;96.2525;[89.14-100.5]
CR-1 PN-30 G-15 PP-5 SM-1 MAX_STEP50 PC-3;2-6-3-9-15-14-10-4-13-5-8-11-1-7-12-2;82.05;97.0175;[82.05-105.98]
CR-1 PN-30 G-15 PP-5 SM-1 MAX_STEP100 PC-1;11-5-4-15-7-12-2-6-9-8-14-10-3-13-1-11;83.7;90.7875;[83.7-99.05]
CR-1 PN-30 G-15 PP-5 SM-1 MAX_STEP100 PC-2;13-7-2-12-8-1-3-6-15-4-10-14-9-5-11-13;88.01;94.3925;[88.01-105.55]
CR-1 PN-30 G-15 PP-5 SM-1 MAX_STEP100 PC-3;4-10-8-9-3-6-14-2-12-7-1-11-13-5-15-4;85.59;99.505;[85.59-109.23]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP10 PC-1;7-12-4-6-2-8-10-14-15-11-1-13-5-9-3-7;84.11;93.6425;[84.11-101.53]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP10 PC-2;13-5-9-11-8-10-12-15-14-1-2-7-4-6-3-13;92.07;97.65;[92.07-103.15]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP10 PC-3;3-6-15-7-4-8-1-5-11-13-12-10-14-2-9-3;80.43;90.365;[80.43-98.51]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP50 PC-1;7-2-6-3-4-8-9-5-11-13-1-14-12-15-10-7;81.84;89.075;[81.84-96.76]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP50 PC-2;6-3-8-14-10-15-7-4-1-5-11-13-9-2-12-6;77.34;85.235;[77.34-93.05]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP50 PC-3;6-2-12-4-14-7-10-15-13-5-11-1-8-3-9-6;76.37;83.1725;[76.37-89.3]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP100 PC-1;2-4-15-7-10-8-14-11-5-1-13-9-6-3-12-2;76.86;86.44;[76.86-91.78]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP100 PC-2;15-9-3-6-2-7-12-4-14-1-8-5-13-11-10-15;76.03;84.1;[76.03-95.71]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP100 PC-3;6-12-2-7-14-8-1-15-4-10-11-5-13-9-3-6;73.16;79.22;[73.16-86.98]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP10 PC-1;6-7-12-15-13-5-8-1-11-4-10-14-2-9-3-6;85.34;91.2375;[85.34-99.66]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP10 PC-2;6-9-13-1-8-7-12-2-10-4-15-11-5-14-3-6;91.81;99.825;[91.81-105.49]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP10 PC-3;5-13-7-12-6-3-4-2-15-14-10-1-8-11-9-5;88.26;92.235;[88.26-100.11]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP50 PC-1;5-13-12-2-14-4-15-7-10-6-3-9-11-8-1-5;79.51;90.185;[79.51-98.38]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP50 PC-2;11-13-5-9-14-10-12-2-3-6-15-4-7-8-1-11;69.96;78.7775;[69.96-90.51]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP50 PC-3;6-2-7-12-15-14-4-1-11-5-10-8-13-9-3-6;77.33;82.9175;[77.33-93.65]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP100 PC-1;15-2-12-7-1-11-5-13-14-4-6-3-9-8-10-15;82.27;88.5;[82.27-95.32]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP100 PC-2;4-7-15-10-14-12-2-1-11-5-13-3-9-6-8-4;81.99;88.0925;[81.99-91.85]
CR-1 PN-30 G-15 PP-5 SM-2 B-2 MAX_STEP100 PC-3;15-8-1-11-13-5-4-14-10-9-3-2-6-12-7-15;74.22;87.0125;[74.22-93.98]
CR-1 PN-30 G-15 PP-10 SM-1 MAX_STEP10 PC-1;4-14-8-1-11-5-13-6-3-2-12-7-15-10-9-4;76.95;87.935;[76.95-99.75]
CR-1 PN-30 G-15 PP-10 SM-1 MAX_STEP10 PC-2;7-2-3-6-5-9-8-4-10-14-1-11-13-12-15-7;85.85;95.85;[85.85-102.12]
CR-1 PN-30 G-15 PP-10 SM-1 MAX_STEP10 PC-3;14-4-1-2-12-7-15-8-11-9-5-13-3-6-10-14;89.88;95.11;[89.88-98.8]
CR-1 PN-30 G-15 PP-10 SM-1 MAX_STEP50 PC-1;13-9-2-15-12-7-10-4-3-6-8-14-1-5-11-13;84.31;87.3625;[84.31-89.34]
CR-1 PN-30 G-15 PP-10 SM-1 MAX_STEP50 PC-2;3-6-9-5-1-11-13-15-4-2-7-12-8-10-14-3;82.81;90.3625;[82.81-99.09]
CR-1 PN-30 G-15 PP-10 SM-1 MAX_STEP50 PC-3;15-14-4-5-11-9-13-1-8-3-6-12-2-7-10-15;85.07;89.7725;[85.07-94.66]
CR-1 PN-30 G-15 PP-10 SM-1 MAX_STEP100 PC-1;5-11-1-13-8-14-6-3-10-4-7-12-15-2-9-5;79.79;84.3175;[79.79-90.94]
CR-1 PN-30 G-15 PP-10 SM-1 MAX_STEP100 PC-2;12-4-8-10-14-15-9-11-1-13-5-3-6-2-7-12;75.32;84.1225;[75.32-95.99]
CR-1 PN-30 G-15 PP-10 SM-1 MAX_STEP100 PC-3;11-1-13-5-9-3-6-15-4-7-14-12-2-10-8-11;69.24;84.265;[69.24-93.06]
CR-1 PN-30 G-15 PP-10 SM-2 B-2 MAX_STEP10 PC-1;7-15-8-1-11-9-13-5-6-14-10-4-12-3-2-7;84.15;93.27;[84.15-98.08]
CR-1 PN-30 G-15 PP-10 SM-2 B-2 MAX_STEP10 PC-2;12-6-14-8-13-11-4-10-15-7-1-5-9-3-2-12;89.74;92.125;[89.74-94.91]
CR-1 PN-30 G-15 PP-10 SM-2 B-2 MAX_STEP10 PC-3;10-1-11-13-5-9-2-15-7-6-3-12-8-4-14-10;80.31;92.4875;[80.31-100.72]
CR-1 PN-30 G-15 PP-10 SM-2 B-2 MAX_STEP50 PC-1;6-2-7-12-15-4-14-10-8-11-3-9-13-5-1-6;75.36;79.0775;[75.36-83.07]
CR-1 PN-30 G-15 PP-10 SM-2 B-2 MAX_STEP50 PC-2;13-9-6-3-2-8-10-15-14-4-12-7-5-1-11-13;81.94;88.105;[81.94-95.82]
CR-1 PN-30 G-15 PP-10 SM-2 B-2 MAX_STEP50 PC-3;15-12-6-2-7-5-13-3-9-1-11-8-14-10-4-15;78.64;87.6625;[78.64-98.05]
CR-1 PN-30 G-15 PP-10 SM-2 B-2 MAX_STEP100 PC-1;7-12-6-2-15-14-11-13-3-9-5-1-8-10-4-7;75.33;79.4225;[75.33-82.46]
CR-1 PN-30 G-15 PP-10 SM-2 B-2 MAX_STEP100 PC-2;13-5-1-8-14-10-7-2-12-3-6-4-15-9-11-13;73.98;80.945;[73.98-86.67]
CR-1 PN-30 G-15 PP-10 SM-2 B-2 MAX_STEP100 PC-3;12-2-3-9-13-11-1-8-14-5-6-4-15-10-7-12;78.68;86.8225;[78.68-92.88]
CR-1 PN-30 G-15 PP-10 SM-2 B-4 MAX_STEP10 PC-1;5-11-9-13-1-8-14-10-7-12-6-4-15-2-3-5;77.78;84.285;[77.78-89.76]
CR-1 PN-30 G-15 PP-10 SM-2 B-4 MAX_STEP10 PC-2;7-4-10-14-8-1-5-11-13-9-12-15-6-3-2-7;68.88;78.0575;[68.88-86.83]
CR-1 PN-30 G-15 PP-10 SM-2 B-4 MAX_STEP10 PC-3;12-7-2-6-3-9-13-11-1-5-10-4-8-14-15-12;68.84;80.865;[68.84-88.04]
CR-1 PN-30 G-15 PP-10 SM-2 B-4 MAX_STEP50 PC-1;9-2-7-15-4-10-14-8-12-6-3-5-1-11-13-9;72.96;84.26;[72.96-101.8]
CR-1 PN-30 G-15 PP-10 SM-2 B-4 MAX_STEP50 PC-2;15-7-12-2-10-4-13-5-1-11-9-3-6-8-14-15;77.09;84.6975;[77.09-89.98]
CR-1 PN-30 G-15 PP-10 SM-2 B-4 MAX_STEP50 PC-3;5-13-1-11-8-10-14-15-4-7-12-6-3-2-9-5;65;78.69;[65-89.05]
CR-1 PN-30 G-15 PP-10 SM-2 B-4 MAX_STEP100 PC-1;2-14-10-7-15-4-12-9-13-8-1-11-5-3-6-2;73.8;83.195;[73.8-90.28]
CR-1 PN-30 G-15 PP-10 SM-2 B-4 MAX_STEP100 PC-2;9-5-13-11-10-2-12-15-4-7-14-8-1-6-3-9;72.05;79.4875;[72.05-84.64]
CR-1 PN-30 G-15 PP-10 SM-2 B-4 MAX_STEP100 PC-3;8-13-11-1-5-12-4-15-10-14-7-2-6-9-3-8;80.28;82.5475;[80.28-87.63]
CR-1 PN-30 G-15 PP-15 SM-1 MAX_STEP10 PC-1;2-6-3-9-5-1-11-8-4-15-13-12-7-10-14-2;84.41;93.9425;[84.41-102.74]
CR-1 PN-30 G-15 PP-15 SM-1 MAX_STEP10 PC-2;5-9-3-4-15-7-6-2-13-1-11-8-14-10-12-5;89.37;93.415;[89.37-97.04]
CR-1 PN-30 G-15 PP-15 SM-1 MAX_STEP10 PC-3;5-13-1-11-2-6-12-14-8-7-15-10-4-3-9-5;82.59;96.435;[82.59-102.36]
CR-1 PN-30 G-15 PP-15 SM-1 MAX_STEP50 PC-1;14-4-2-7-12-15-6-1-11-13-5-9-3-10-8-14;79.42;85.58;[79.42-88.55]
CR-1 PN-30 G-15 PP-15 SM-1 MAX_STEP50 PC-2;3-6-5-11-13-9-1-10-12-2-14-8-15-7-4-3;90.99;94.7975;[90.99-101.32]
CR-1 PN-30 G-15 PP-15 SM-1 MAX_STEP50 PC-3;14-10-15-4-8-1-13-7-12-2-6-3-11-5-9-14;80.84;90.035;[80.84-98.2]
CR-1 PN-30 G-15 PP-15 SM-1 MAX_STEP100 PC-1;2-6-3-5-1-11-13-8-15-7-4-14-10-9-12-2;79.82;88.9575;[79.82-97.62]
CR-1 PN-30 G-15 PP-15 SM-1 MAX_STEP100 PC-2;8-13-6-3-9-5-11-1-14-10-12-7-4-2-15-8;78.42;88.725;[78.42-98.33]
CR-1 PN-30 G-15 PP-15 SM-1 MAX_STEP100 PC-3;4-7-6-12-2-9-3-15-14-10-5-13-11-8-1-4;88.08;92.1375;[88.08-101.15]
CR-1 PN-30 G-15 PP-15 SM-2 B-2 MAX_STEP10 PC-1;14-15-12-7-3-6-11-9-13-5-1-8-10-4-2-14;83.97;85.2075;[83.97-87.83]
CR-1 PN-30 G-15 PP-15 SM-2 B-2 MAX_STEP10 PC-2;4-15-7-2-6-3-12-9-5-13-11-14-10-8-1-4;76.16;84.775;[76.16-91.52]
CR-1 PN-30 G-15 PP-15 SM-2 B-2 MAX_STEP10 PC-3;9-2-14-12-4-7-6-3-15-10-1-8-11-13-5-9;84.78;89.8375;[84.78-96.28]
CR-1 PN-30 G-15 PP-15 SM-2 B-2 MAX_STEP50 PC-1;10-15-12-7-1-11-8-13-5-9-6-3-2-4-14-10;72.37;78.5;[72.37-88.98]
CR-1 PN-30 G-15 PP-15 SM-2 B-2 MAX_STEP50 PC-2;3-5-13-9-11-1-8-15-7-10-14-4-12-2-6-3;65.52;75.555;[65.52-88.49]
CR-1 PN-30 G-15 PP-15 SM-2 B-2 MAX_STEP50 PC-3;11-1-8-14-10-15-12-7-4-5-9-3-2-6-13-11;71.19;78.0225;[71.19-84.25]
CR-1 PN-30 G-15 PP-15 SM-2 B-2 MAX_STEP100 PC-1;8-13-9-5-11-1-14-10-2-6-3-12-7-15-4-8;72.16;74.8975;[72.16-76.58]
CR-1 PN-30 G-15 PP-15 SM-2 B-2 MAX_STEP100 PC-2;9-3-6-2-15-4-7-14-12-10-8-11-5-13-1-9;68.82;79.315;[68.82-88.53]
CR-1 PN-30 G-15 PP-15 SM-2 B-2 MAX_STEP100 PC-3;9-3-6-2-7-10-4-12-15-14-8-1-5-13-11-9;58.23;73.7425;[58.23-87.74]
CR-1 PN-30 G-15 PP-15 SM-2 B-6 MAX_STEP10 PC-1;10-4-8-1-13-5-3-6-7-15-12-2-9-11-14-10;78.19;82.18;[78.19-84.6]
CR-1 PN-30 G-15 PP-15 SM-2 B-6 MAX_STEP10 PC-2;14-8-1-9-13-11-5-3-2-10-4-15-7-12-6-14;79.8;88.8425;[79.8-94.48]
CR-1 PN-30 G-15 PP-15 SM-2 B-6 MAX_STEP10 PC-3;12-15-2-6-3-9-13-5-14-10-8-11-1-7-4-12;74.74;79.64;[74.74-84.61]
CR-1 PN-30 G-15 PP-15 SM-2 B-6 MAX_STEP50 PC-1;13-11-1-8-14-10-15-7-12-2-4-5-9-3-6-13;68.65;74.5875;[68.65-80.82]
CR-1 PN-30 G-15 PP-15 SM-2 B-6 MAX_STEP50 PC-2;14-10-8-1-11-5-9-13-3-6-2-7-12-15-4-14;60.52;76.41;[60.52-92.21]
CR-1 PN-30 G-15 PP-15 SM-2 B-6 MAX_STEP50 PC-3;2-6-3-9-1-11-13-5-14-12-15-8-10-4-7-2;72.18;78.105;[72.18-83.1]
CR-1 PN-30 G-15 PP-15 SM-2 B-6 MAX_STEP100 PC-1;5-9-6-3-4-1-2-12-7-15-10-14-8-11-13-5;76.52;81.415;[76.52-86.78]
CR-1 PN-30 G-15 PP-15 SM-2 B-6 MAX_STEP100 PC-2;3-9-5-11-13-8-1-12-2-4-14-10-15-7-6-3;67.91;78.5675;[67.91-93.08]
CR-1 PN-30 G-15 PP-15 SM-2 B-6 MAX_STEP100 PC-3;5-9-15-7-12-2-6-3-4-10-14-8-13-11-1-5;69.24;76.105;[69.24-83.41]
CR-1 PN-30 G-30 PP-5 SM-1 MAX_STEP10 PC-1;5-1-13-3-6-14-4-12-15-7-10-2-9-8-11-5;90.34;99.9975;[90.34-110.74]
CR-1 PN-30 G-30 PP-5 SM-1 MAX_STEP10 PC-2;13-11-9-5-6-15-12-3-2-4-10-14-7-8-1-13;87.08;99.4575;[87.08-107.66]
CR-1 PN-30 G-30 PP-5 SM-1 MAX_STEP10 PC-3;1-10-4-13-11-5-9-14-15-2-12-3-6-7-8-1;93.55;97.61;[93.55-102.39]
CR-1 PN-30 G-30 PP-5 SM-1 MAX_STEP50 PC-1;10-12-11-1-8-15-7-2-6-3-13-9-5-4-14-10;88.3;101.76;[88.3-108.28]
CR-1 PN-30 G-30 PP-5 SM-1 MAX_STEP50 PC-2;2-4-11-9-5-3-6-12-10-7-15-14-8-13-1-2;97.96;102.712;[97.96-106.47]
CR-1 PN-30 G-30 PP-5 SM-1 MAX_STEP50 PC-3;12-15-13-5-1-11-8-9-3-6-2-10-4-7-14-12;80.47;95.905;[80.47-105.96]
CR-1 PN-30 G-30 PP-5 SM-1 MAX_STEP100 PC-1;8-10-15-7-11-13-9-5-1-14-4-12-3-6-2-8;87.14;95.7525;[87.14-106.39]
CR-1 PN-30 G-30 PP-5 SM-1 MAX_STEP100 PC-2;6-2-4-7-10-11-8-5-15-12-14-1-13-9-3-6;93.6;100.345;[93.6-107.5]
CR-1 PN-30 G-30 PP-5 SM-1 MAX_STEP100 PC-3;15-7-6-5-11-1-12-14-2-4-10-8-13-9-3-15;99.05;100.683;[99.05-102.96]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP10 PC-1;5-7-4-15-14-2-12-10-8-1-11-9-6-3-13-5;82.44;93.7875;[82.44-106.86]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP10 PC-2;2-11-8-14-4-6-7-10-15-12-1-13-5-9-3-2;91.9;95.835;[91.9-103.17]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP10 PC-3;2-12-4-7-10-14-11-1-9-5-13-8-15-3-6-2;79.88;88.4475;[79.88-97.19]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP50 PC-1;8-2-10-14-13-6-7-4-15-12-3-9-5-11-1-8;88.38;89.5225;[88.38-91.17]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP50 PC-2;14-5-13-8-11-1-10-2-12-15-4-7-6-3-9-14;86.53;93.2125;[86.53-101.29]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP50 PC-3;1-8-2-6-7-14-10-15-4-3-9-12-13-5-11-1;87.5;94.36;[87.5-99.12]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP100 PC-1;2-6-11-13-8-1-7-12-4-14-15-10-5-9-3-2;88.28;95.7625;[88.28-114.63]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP100 PC-2;8-15-7-2-9-13-11-1-12-4-14-10-6-3-5-8;89.3;94.0425;[89.3-100.67]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP100 PC-3;13-11-8-4-15-7-3-6-14-10-12-2-1-9-5-13;83.87;94.16;[83.87-101.2]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP10 PC-1;15-12-7-4-8-11-13-5-9-3-6-2-1-10-14-15;69.27;86.2975;[69.27-96.47]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP10 PC-2;3-12-2-7-4-15-10-14-11-13-9-1-8-5-6-3;82.15;90.3875;[82.15-98.03]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP10 PC-3;1-14-4-15-10-8-12-7-2-6-13-9-3-5-11-1;82.52;90.28;[82.52-95.27]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP50 PC-1;5-9-2-12-6-3-13-11-1-8-7-14-10-15-4-5;81.78;93.7;[81.78-102.94]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP50 PC-2;15-7-5-13-9-10-4-2-12-6-3-1-11-8-14-15;89.95;97.4025;[89.95-104]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP50 PC-3;11-1-8-14-4-10-2-7-12-5-13-9-6-3-15-11;87.39;94.685;[87.39-100.14]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP100 PC-1;10-8-13-9-11-1-5-6-3-2-4-12-7-15-14-10;77.34;88.885;[77.34-97.9]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP100 PC-2;12-10-14-7-15-3-9-4-8-11-5-13-1-2-6-12;88.67;94.9125;[88.67-100.43]
CR-1 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP100 PC-3;8-7-12-2-15-4-1-13-5-11-9-3-6-10-14-8;72.4;90.6;[72.4-106.01]
CR-1 PN-30 G-30 PP-10 SM-1 MAX_STEP10 PC-1;4-1-11-9-5-13-7-12-2-14-15-6-3-8-10-4;93.68;96.435;[93.68-99.89]
CR-1 PN-30 G-30 PP-10 SM-1 MAX_STEP10 PC-2;3-9-5-13-11-12-10-14-4-7-15-2-1-8-6-3;78.93;91.715;[78.93-101.53]
CR-1 PN-30 G-30 PP-10 SM-1 MAX_STEP10 PC-3;14-8-12-6-3-10-4-15-7-2-9-11-1-5-13-14;86.63;95.3625;[86.63-103.1]
CR-1 PN-30 G-30 PP-10 SM-1 MAX_STEP50 PC-1;9-7-14-10-4-8-1-13-5-11-15-12-2-6-3-9;71.65;85.295;[71.65-97.56]
CR-1 PN-30 G-30 PP-10 SM-1 MAX_STEP50 PC-2;13-9-6-12-2-3-8-4-14-10-15-7-5-1-11-13;85.43;89.63;[85.43-97.68]
CR-1 PN-30 G-30 PP-10 SM-1 MAX_STEP50 PC-3;2-9-3-6-14-10-8-1-13-11-5-7-4-15-12-2;71.95;88.7825;[71.95-102.84]
CR-1 PN-30 G-30 PP-10 SM-1 MAX_STEP100 PC-1;14-10-12-15-1-5-13-11-8-9-3-6-2-7-4-14;69.72;85.9525;[69.72-92.98]
CR-1 PN-30 G-30 PP-10 SM-1 MAX_STEP100 PC-2;9-12-7-8-1-14-15-4-10-13-5-11-6-2-3-9;88.19;95.7475;[88.19-106.81]
CR-1 PN-30 G-30 PP-10 SM-1 MAX_STEP100 PC-3;8-14-15-1-5-3-6-9-11-13-10-4-7-12-2-8;89.29;91.2075;[89.29-94.44]
CR-1 PN-30 G-30 PP-10 SM-2 B-2 MAX_STEP10 PC-1;1-15-14-4-7-12-2-6-11-5-13-9-3-8-10-1;87.56;88.7225;[87.56-90.16]
CR-1 PN-30 G-30 PP-10 SM-2 B-2 MAX_STEP10 PC-2;4-6-3-5-13-9-11-1-10-8-14-7-12-2-15-4;78.26;85.9575;[78.26-94.72]
CR-1 PN-30 G-30 PP-10 SM-2 B-2 MAX_STEP10 PC-3;3-6-14-8-1-11-5-2-12-7-15-4-10-13-9-3;75.34;82.91;[75.34-89.41]
